brand_code|brand_country|source_name|source_customer_id|prefix|first_name|middle_name|last_name|display_name|suffix|date_of_birth|birth_year|birth_month_day|customer_profile_image|email_addr|facebook_user_name|signature|identity_source|cu_code|cu_buyer|cu_valid|external_customer_id|is_pro|is_pro_nail_tech_stylist|is_pro_distributor|registration_Source|is_registered|is_guest|last_login_dt|acq_Source|acq_medium|acq_name|acq_end_status|created_dt|last_modified_dt|demographics|age_range|marital_status|gender|sun_protection_type|face_and_body_cleansing|makeup_style|skin_tone|skin_undertone|skin_shade|skin_type|skin_care_goals_desired_results|skin_care_goals_time_effort|skin_care_primary_skin_concerns|skin_care_product_type|skin_care_product_brand|skin_care_product_line|skin_care_product_name|secondary_skin_concerns|primary_skin_concerns_target|primary_skin_concerns_condition|primary_skin_concerns_spf|secondary_skin_concerns_target|secondary_skin_concerns_condition|secondary_skin_concerns_spf|tone|eye_color|eye_size|eye_shape|eyelash_length|eyelash_look|hair_color|hair_type|hair_shade|hair_color_shade|hair_color_curr_brand|hair_color_curr_product_name|secondary_hair_concerns|primary_hair_concerns|color_treated|gray_level|salon_visits|color_chemical_treatments|thickness|hair_curr_condition|lip_size|lip_shape|lip_shade|lip_curr_brand|lip_curr_product_name|foundation|foundation_curr_brand|foundation_curr_product_name|foundation_shade|cant_live_without|preferred_eyeliner|preferred_lang|preferred_channel|preferred_store|customer_property|customer_answer|campaign_code|campaign_name|event_name|favorite_shades|hair_care_interested|hair_color_interested|hair_styling_interested|makeup_interested|skin_care_interested|other_categories_interested|email_perm_status|address_perm_status|is_loyalty|loyalty_member_num|loyalty_member_start_dt|loyalty_card_status|loyalty_status|loyalty_home_store|is_loyalty_unsubscribed|loyalty_balance|loyalty_liftime_balance|loyalty_tier_name|loyalty_tier_join_dt|loyalty_tier_expiry_dt|loyalty_channel|loyalty_sub_channel|loyalty_sub_channel_dtl|gold_rewards_member_id|gold_rewards_imported_member_id|gold_rewards_optin_flag|loyalty_rewards_member|loyalty_rewards_referral_code|newsletter|hair_color_commitment|sweeps_reg_source|diawow_reg_ref_lop|diawow_reg_ref_other|diawow_reg_ref_polf|diawow_reg_ref_post|diawow_reg_ref_web_baner|diawow_reg_ref_wow_honoree|pro_company|receive_specials_and_coupons|acq_store_num|business_assoc_id|adventurous|occasion|expert_level|ethnicity|nationality|reg_type|is_customer_registrant|last_remote_login_dt|facebook_pic_url|upc_foundation_style_formula|upc_foundation_style_coverage|upc_foundation_style_finish|upc_favorite_lip_finish|upc_fragrance|upc_face|upc_mu_product_use|upc_skin|upc_eye_concerns|pro_amount_threshold|pro_availabile_amount|pro_end_dt|pro_percent_discount|pro_start_dt|pro_tier_number|best_time_to_contact|prefer_contacted_by_email|prefer_contacted_by_mail|prefer_contacted_by_phone|prefer_contacted_by_sms|styles|skin_care_concerns|makeup_primary_skin_concerns|chemical_treatments|color_goals|makeup_interests|skin_care_interests|hair_interests|makeup_benefits|alt_question1|alt_question2|alt_question3|alt_question4|alt_question5|facebook_id|twitter_id|youtube_id|pinterest_id|instagram_id|mild_acne|tight_uncomfortable|cystic_acne|oily_clogged|normal|normal_to_dry|normal_to_oily|oily|dry|all_over_uneven|darkspots_discolorations|redness_blotchiness|dull_rough_flaky|acne_marks|oily_skin_tone|dry_skin_tone|just_a_few|a_few_more|deep_stubborn_lines|deep_set|loss_of_radiance|dehydration|oily_pores|dry_pores|slightly_enlarged|very_enlarged|enlarged|loss_of_firmness|great_loss_of_firmness|dry_thin_skin|about_us|how_often_color_hair_at_home|i_color_my_hair_at_salon|i_color_my_hair_to|preferred_retailer|what_product_you_use_last_time_home|when_color_at_home_i|when_roots_start_to_show|profile_address|billing_address|shipping_address|home_phone_number|home_phone_ext|home_phone_perm_status|home_sms_perm_status|mobile_phone_number|mobile_phone_ext|mobile_phone_perm_status|mobile_sms_perm_status|office_phone_number|office_phone_ext|office_phone_perm_status|office_sms_perm_status|fax_phone_number|fax_phone_ext|fax_phone_perm_status|fax_sms_perm_status|phone_type|phone_number|phone_ext|phone_perm_status|sms_perm_status|upc_skincare_product_use|wear_makeup_freq|favorite_eyelash_look|favorite_eye_look|acq_source_details|persona|loyalty_last_activity_dt|loyalty_enrolled_dt|loyalty_last_reward_event_id|loyalty_last_reward_dt|loyalty_member_attr|is_app_user|is_device_owner|registration_sub_source|sub_brands_optin_pref|sms_double_optin|linkedIn_id|google_id
CAA|USA|DEMANDWARE|CRD_DEV14_00043510||Mohit||Asija|||||||mohitasija230965@yopmail.com||CAA|||||||||Registration|Y||2019-03-01T07:18:30Z|Website||||2019-03-01T07:18:23Z|2019-03-01T07:20:35Z|||||||||||||||||||||||||||||||||||||||||||||||||||||||||default|Email||||||||||||||Y||N|||||||||||||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||N|||||
CAA|USA|DEMANDWARE|00000001||anu||bansal|||||||||CAA||||||N||||Y||2018-11-29T13:39:30Z|||||2018-09-20T03:50:42Z|2018-11-29T13:39:30Z||||FEMALE||||||||||||||||||||||||||||||||||||||||||||||||||||||Email||||||||||||||N||N|||||||||||||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||[{"address_type":"PROFILE","is_default_address":"Y","address_line1":"5100 MONTERO WAY","address_city":"petaluma","address_state":"CA","postal_code":"94954","address_country":"United States"}]|||||||||||||||||||||||||||||||||||||||||
CAA|USA|DEMANDWARE|CRD_DEV14_00000001||Tushar||Parida|||1987-01-03|1987|01-03||tushar@test21.com||CAA||||||||||Y||2018-10-22T10:58:32Z|||||2018-10-22T10:58:32Z|2018-11-14T09:58:38Z|||||||||||||||||||||||||||||||||||||||||||||||||||||||||default|Email||||||||||||||Y||N|||||||||||||||||||||||||||||||||||||||N|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||HOME|8798798797||N|Y||||||||||||||||||
CAA|USA|DEMANDWARE|CRD_DEV14_00020001||Amulya||Amulya|||1992-01-19|1992|01-19||carols115115@yopmail.com||CAA|||||||||Registration|Y||2018-12-27T05:15:47Z|Website||||2018-12-27T05:15:46Z|2018-12-27T05:15:47Z|||||||||||||||||||||||||||||||||||||||||||||||||||||||||default|Email||||||||||||||Y||N|||||||||||||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||N|||||
CAA|USA|DEMANDWARE|CRD_DEV14_00030001||BOB||Dawney|||||||testusercaajit2@yopmail.com||CAA|||||||||Registration|Y||2019-01-10T11:34:44Z|Website||||2019-01-10T11:34:43Z|2019-01-10T11:34:44Z|||||||||||||||||||||||||||||||||||||||||||||||||||||||||default|Email||||||||||||||Y||N|||||||||||||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||N|||||
CAA|USA|DEMANDWARE|CRD_DEV14_00040001||Mohit||Asija|||||||mohitasija45645645@yopmail.com||CAA|||||||||Registration|Y||2019-02-15T16:19:16Z|Website||||2019-02-15T16:19:16Z|2019-02-15T16:19:16Z|||||||||||||||||||||||||||||||||||||||||||||||||||||||||default|Email||||||||||||||Y||N|||||||||||||||||||||||||||||||||||||||N|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||HOME|8563616560||N|Y||||||||||||||||||
CAA|USA|DEMANDWARE|CRD_DEV14_00001001||mm||mm|||||||mm@mme.com||CAA|||||||||Registration|Y||2018-11-30T03:03:53Z|Website||||2018-11-30T03:03:51Z|2018-11-30T03:03:53Z|||||||||||||||||||||||||||||||||||||||||||||||||||||||||default|Email||||||||||||||Y||N|||||||||||||||||||||||||||||||||||||||N|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
CAA|USA|DEMANDWARE|CRD_DEV14_00011001||carolstwo||twocarols|||2000-01-30|2000|01-30||carols2002@yopmail.com||CAA|||||||||Registration|Y||2018-12-17T17:00:53Z|Website||||2018-12-17T17:00:52Z|2018-12-17T17:00:53Z|||||||||||||||||||||||||||||||||||||||||||||||||||||||||default|Email||||||||||||||Y||N|||||||||||||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||N|||||
CAA|USA|DEMANDWARE|CRD_DEV14_00021001||lakshmi||lakshmi|||1988-01-20|1988|01-20||carols115116@yopmail.com||CAA|||||||||Registration|Y||2018-12-27T07:44:53Z|Website||||2018-12-27T07:20:25Z|2019-01-02T08:43:36Z|||||||||||||||||||||||||||||||||||||||||||||||||||||||||default|Email||||||||||||||Y||N|||||||||||||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||N|||||
CAA|USA|DEMANDWARE|CRD_DEV14_00041001||Michel||Michel|||1988-02-02|1988|02-02||caa_test_test_900900@yopmail.com||CAA|||||||||Registration|Y||2019-02-21T10:39:42Z|Website||||2019-02-21T10:39:39Z|2019-02-21T10:39:42Z|||||||||||||||||||||||||||||||||||||||||||||||||||||||||default|Email||||||||||||||Y||N|||||||||||||||||||||||||||||||||||||||N|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||HOME|9000956565||N|Y|||||||||||||N|||||
